,message,intent,label
161,Is there a feedback form or process for my recent hospital visit?,feedback,6
162,I'm looking to shift my last appointment to a new time.,session_reschedule,3
163,"Hey, helpful virtual friend!",greeting,2
164,"No, that's all for this request",service_completion,1
165,"No, I'm finished here",service_completion,1
166,I'm not sure.,fallback,0
167,I'd like to mark a date for a doctor's appointment,book_session,5
168,blah blah blah,fallback,0
169,???,fallback,0
170,I want to book a consultation with a doctor,book_session,5
171,Please guide me.,fallback,0
172,Can you update me on my booking details?,session_status,7
173,I'd like to reschedule my last appointment.,session_reschedule,3
174,Can you assist me in booking a doctor's slot,book_session,5
175,Please help.,fallback,0
176,I'm seeking to request an appointment with a doctor,book_session,5
177,tell date and time of my appointment.,session_status,7
178,"Please provide a comprehensive overview of the appointment I've confirmed,",session_status,7
179,,fallback,0
180,"Can you predict my future? You know, like a digital fortune teller.",fallback,0
181,"No, that completes our conversation.",service_completion,1
182,"Hey, virtual friend!",greeting,2
183,"Howdy, chatbot!",greeting,2
184,Is it possible to lock my appointment with a doctor,book_session,5
185,Hi!,greeting,2
186,"Hi, interactive assistant!",greeting,2
187,Please reschedule my appointment at your hospital as my plans have changed.,session_reschedule,3
188,Can I offer some feedback?,feedback,6
189,Please explain.,fallback,0
190,Would you be able to cancel my appointment?,session_cancelation,4
191,I'm interested in moving my appointment to a new time.,session_reschedule,3
192,I'm interested in moving my last appointment to a different time.,session_reschedule,3
193,I'm curious about my booking. Tell me more.,session_status,7
194,I want to secure a time for a doctor's appointment,book_session,5
195,I want to change the date of the appointment I had arranged at your hospital.,session_reschedule,3
196,I'm afraid I won't be able to make it to my appointment at your hospital. Can we cancel it?,session_cancelation,4
197,"No, that's all I'm after",service_completion,1
198,Can you shed light?,fallback,0
199,"Tell me about my session, please.",session_status,7
200,"I want to book a consultation with one of your doctors, please guide me.",book_session,5
201,"No, that's all for today",service_completion,1
202,"No, that's all",service_completion,1
203,"Can you assist me in canceling my appointment, please?",session_cancelation,4
204,"No, I'm okay",service_completion,1
205,I'm interested in my appointment. What's available?,session_status,7
206,Could you assist me in choosing a doctor's appointment,book_session,5
207,"Could you cancel my appointment, when it's suitable for you?",session_cancelation,4
208,"Good to see you, bot!",greeting,2
209,I'm interested in my booking. Can you provide details?,session_status,7
210,Can you assist me in scheduling a doctor's appointment at your facility?,book_session,5
211,"No, I'm happy with that",service_completion,1
212,What now?,fallback,0
213,I want to learn more about my session.,session_status,7
214,Can you assist me in booking a doctor's consultation,book_session,5
215,"No, I'm happy",service_completion,1
216,I'm feeling lost.,fallback,0
217,Please share the booking details with me.,session_status,7
218,that's it,service_completion,1
219,Can I give feedback?,feedback,6
220,I want to reserve a spot for a doctor's appointment,book_session,5
221,I'm having difficulties.,fallback,0
222,"I have no further requests, thank you.",service_completion,1
223,I had some feedback to share.,feedback,6
224,Could you cancel the appointment I had fixed at your hospital?,session_cancelation,4
225,"Share the details of my session, if you can.",session_status,7
226,Is it okay if I change the time of my last appointment?,session_reschedule,3
227,Could you please assist me in canceling my appointment?,session_cancelation,4
228,I'm not grasping it.,fallback,0
229,"No, that's the extent of it",service_completion,1
230,I wanted to give some thoughts.,feedback,6
231,I want to cancel my appointment.,session_cancelation,4
232,I need to choose a doctor's consultation,book_session,5
233,"No, I'm content with this",service_completion,1
234,I'm interested in arranging my time for a doctor's visit,book_session,5
235,"I'd like to be informed about my booking, please.",session_status,7
236,Could you assist me in canceling my appointment at your hospital?,session_cancelation,4
237,I'd like to share my feedback about the medical staff during my recent hospital visit.,feedback,6
238,Can I provide feedback?,feedback,6
239,I need to cancel my appointment as soon as possible.,session_cancelation,4
240,I had feedback I wanted to share.,feedback,6
241,Tell me about the secret of the Bermuda Triangle. I'm into mysterious stuff.,fallback,0
242,I'm having trouble.,fallback,0
243,Please cancel the appointment I made at your hospital.,session_cancelation,4
244,I'm looking for information on my appointment.,session_status,7
245,I want to cancel my previously arranged appointment.,session_cancelation,4
246,Lost here.,fallback,0
247,I'd like to arrange my time for a doctor's visit,book_session,5
248,I'm struggling.,fallback,0
249,"Can you tell me a bedtime story? I know it's a bit childish, but why not?",fallback,0
250,I'd appreciate information on my appointment specifics.,session_status,7
251,"I'm lost, can you help me find my way home? I hope you have a digital GPS.",fallback,0
252,I'm looking to pick a slot for a doctor's appointment,book_session,5
253,"I want to book an appointment with one of your doctors, can you guide me through the process?",book_session,5
254,I'd appreciate it if you could help me arrange a consultation with one of your doctors.,book_session,5
255,"I'm interested in booking a session with one of your doctors, can you assist?",book_session,5
256,"Hey, how are you?",greeting,2
257,What's available for my session?,session_status,7
258,"I want to cancel my appointment, when it's suitable.",session_cancelation,4
259,Could you please assist me in changing the time of my appointment?,session_reschedule,3
260,Can you guide me through booking a doctor's appointment,book_session,5
261,"Hey, virtual buddy!",greeting,2
262,I need to reschedule my appointment that was previously set.,session_reschedule,3
263,What's the secret to eternal youth? Just curious if you have any age-defying secrets.,fallback,0
264,I want to cancel the appointment I made for [date/time] at your hospital.,session_cancelation,4
265,"No, that's all for this concern",service_completion,1
266,give session details session I've arranged for my healthcare consultation.,session_status,7
267,Is there a way to choose a doctor's appointment,book_session,5
268,Could you provide me with details of session I've scheduled for my health assessment?,session_status,7
269,Please reschedule the appointment I made at your hospital.,session_reschedule,3
270,"No, that's all for this",service_completion,1
271,Could you please arrange a consultation with one of your doctors for me?,book_session,5
272,"No, I'm all set",service_completion,1
273,Can you help me cancel the appointment I made at your hospital?,session_cancelation,4
274,"No, I'm finished",service_completion,1
275,"No, I don't have any additional questions.",service_completion,1
276,I'd like to give feedback about the care I received during my hospital visit.,feedback,6
277,"I don't need anything else, thank you.",service_completion,1
278,Can you help me book a doctor's consultation,book_session,5
279,that's all,service_completion,1
280,I wanted to give feedback on this.,feedback,6
281,"No, that's the end of my inquiries.",service_completion,1
282,I had some feedback to give.,feedback,6
283,I'd like to cancel my appointment.,session_cancelation,4
284,How can I offer feedback about my recent visit to your hospital?,feedback,6
285,I want to change the date of my previously arranged appointment at your hospital.,session_reschedule,3
286,"What's the formula for calculating velocity? Oh, I see, you're not a physics expert.",fallback,0
287,I'm seeking to lock in my appointment with a doctor,book_session,5
288,that's enough for now,service_completion,1
289,I'm looking for details of session I've booked at the hospital,session_status,7
290,Can I change the time of my appointment?,session_reschedule,3
291,Provide me with information on my session.,session_status,7
292,I'd greatly appreciate if you provide details of the session I've booked,session_status,7
293,"Give me the appointment information, please.",session_status,7
294,"Hello, knowledgeable bot!",greeting,2
295,Need direction.,fallback,0
296,Can you reschedule the appointment I made at your hospital?,session_reschedule,3
297,"No, that's fine",service_completion,1
298,I want to cancel the appointment I had arranged at your hospital.,session_cancelation,4
299,Could you assist me in rescheduling my appointment?,session_reschedule,3
300,Can you help me with changing the time of my appointment?,session_reschedule,3
301,"I need to cancel my appointment, when you're ready.",session_cancelation,4
302,Can you help me plan my doctor's appointment,book_session,5
303,I want to reschedule my appointment that was previously scheduled.,session_reschedule,3
304,Is it possible to shift my appointment to another time?,session_reschedule,3
305,I had thoughts to share.,feedback,6
306,I'd like to reschedule my appointment to a different time.,session_reschedule,3
307,"I want to cancel my appointment, if you're prepared.",session_cancelation,4
308,"No, I'm good now",service_completion,1
309,I'd like to express my feedback regarding the service I received at your hospital.,feedback,6
310,"No, that's complete",service_completion,1
311,Can you share the details of my appointment?,session_status,7
312,I'd appreciate the chance to give feedback on my recent experience at your hospital.,feedback,6
313,I'd like to reschedule the appointment I had scheduled at your hospital.,session_reschedule,3
314,Hey!,greeting,2
315,Confused here.,fallback,0
316,"Where is Atlantis located? I know it's a myth, but let's play along.",fallback,0
317,"I'd like to schedule a consultation with one of your doctors, can you help?",book_session,5
318,How do I become invisible? Just testing your superpower knowledge.,fallback,0
319,Is there a way to request my time for a doctor's appointment,book_session,5
320,"No, I have no further inquiries.",service_completion,1
321,"I'm interested in arranging a consultation with one of your doctors, can you help?",book_session,5
322,I'm looking information on appointment I've booked at the hospital,session_status,7
323,"No, that's all for this matter",service_completion,1
324,"No, I'm satisfied",service_completion,1
325,"Hiya, chatbot!",greeting,2
326,I want to provide feedback about the quality of care during my recent hospital visit.,feedback,6
327,I need to reschedule the appointment I had confirmed at your hospital.,session_reschedule,3
328,I was hoping to share my thoughts.,feedback,6
329,I've changed my plans and need to cancel my appointment at your hospital.,session_cancelation,4
330,"Hey, chat friend!",greeting,2
331,I was looking to offer some feedback on this.,feedback,6
332,Is it possible to change the time of my appointment?,session_reschedule,3
333,I'd greatly appreciate it give details booking I've made for my medical examination.,session_status,7
334,Could you provide info on session I've scheduled for my health evaluation?,session_status,7
335,Tell me what you can about my booking.,session_status,7
336,I need to schedule an appointment with a physician,book_session,5
337,"Can you assist me in canceling my appointment, when you're free?",session_cancelation,4
338,Can you cancel the appointment I had reserved at your hospital?,session_cancelation,4
339,Is there a specific way to provide feedback about my recent hospital stay?,feedback,6
340,What's there to know about my session?,session_status,7
341,Can you help me by canceling my appointment?,session_cancelation,4
342,How's my favorite AI today?,greeting,2
343,Can you help me reschedule the appointment I made at your hospital?,session_reschedule,3
344,Could I share my feedback?,feedback,6
345,Can I provide my thoughts?,feedback,6
346,I don't get it.,fallback,0
347,I want to cancel my previously arranged appointment at your hospital.,session_cancelation,4
348,What can you tell me about my session details?,session_status,7
349,I need to reschedule my upcoming appointment at your hospital.,session_reschedule,3
350,Can you reschedule the appointment I had reserved at your hospital?,session_reschedule,3
351,"No, that's all for this interaction.",service_completion,1
352,Please provide me with my appointment specifics.,session_status,7
353,"No, that's all I want",service_completion,1
354,Can you explain?,fallback,0
355,"Hi, talkative bot!",greeting,2
356,Need assistance.,fallback,0
357,I've changed my plans and need to reschedule my appointment at your hospital.,session_reschedule,3
358,"Hello, smart AI!",greeting,2
359,I need to secure my time for a doctor's visit,book_session,5
360,Can you please cancel my scheduled appointment?,session_cancelation,4
361,Who won the World Series in 1953? Let's see if you have historical sports knowledge.,fallback,0
362,I'm no longer able to make it to the appointment at your hospital. Can we cancel it?,session_cancelation,4
363,I was looking to offer feedback.,feedback,6
364,"Could you please cancel my appointment, if you can?",session_cancelation,4
365,Can you help me out by canceling my appointment?,session_cancelation,4
366,I'd like to know the appointment specifics.,session_status,7
367,I'd appreciate details on my session.,session_status,7
368,"No, I'm content with that",service_completion,1
369,I'd appreciate if you could cancel my appointment.,session_cancelation,4
370,I want to confirm my preferred time for a doctor's appointment,book_session,5
371,I'm hoping you can help me arrange a doctor's appointment at your hospital.,book_session,5
372,Can you help me move my appointment to another time?,session_reschedule,3
373,I need to move my last appointment to another time.,session_reschedule,3
374,"No, that's all done",service_completion,1
375,Can you guide me on how to make an appointment with one of your doctors?,book_session,5
376,I was hoping to share feedback with you.,feedback,6
377,"No, all set",service_completion,1
378,Can you assist me in changing the time of my appointment?,session_reschedule,3
379,"I'd like to cancel my appointment, if you don't mind.",session_cancelation,4
380,I had some feedback to provide.,feedback,6
381,Not making sense.,fallback,0
382,What's the square root of 576? I need some math help here.,fallback,0
383,I'd like to schedule a doctor's appointment,book_session,5
384,Can I share feedback?,feedback,6
385,"No, I'm done with my requests.",service_completion,1
386,I wanted to provide my feedback.,feedback,6
387,I want to change the date of the appointment I made at your hospital.,session_reschedule,3
388,"Tell me more about my booking, please.",session_status,7
389,"no, that's all",service_completion,1
390,I was hoping to offer feedback.,feedback,6
391,nothing elese,service_completion,1
392,nope,service_completion,1
393,Could you tell me how to submit feedback about my recent hospital visit?,feedback,6
394,Could you give me the details of my session?,session_status,7
395,"No, I'm done with this",service_completion,1
396,I'd like to be informed about my session.,session_status,7
397,Is it okay to change the time of my appointment?,session_reschedule,3
398,"Greetings, virtual chat assistant!",greeting,2
399,Is it okay if I change the time of my appointment?,session_reschedule,3
400,"I need to cancel my appointment, when it's comfortable for you.",session_cancelation,4
401,No,service_completion,1
402,"What's the best way to make money quickly? Asking for a friend, you know.",fallback,0
403,I'm afraid I won't be able to make it to my appointment at your hospital. Can we reschedule it?,session_reschedule,3
404,I'm seeking to arrange a doctor's appointment,book_session,5
405,Could you please assist me in rescheduling my appointment at your hospital?,session_reschedule,3
406,"I'm looking to reserve a slot with one of your doctors, can you provide available dates?",book_session,5
407,"No, I'm done",service_completion,1
408,Could you please help me book a session with one of your doctors?,book_session,5
409,"No, that's all for this query",service_completion,1
410,I was looking to provide feedback.,feedback,6
411,What's happening?,fallback,0
412,This is confusing.,fallback,0
413,Can you offer a detailed breakdown of the booking I have scheduled?,session_status,7
414,I need to reschedule my last appointment that was previously set.,session_reschedule,3
415,I wanted to share my feedback about my recent hospital visit.,feedback,6
416,I'd like to cancel the appointment I had scheduled with [doctor's name] at your hospital.,session_cancelation,4
417,Could you please assist me in canceling my appointment at your hospital?,session_cancelation,4
418, ,fallback,0
419,"No, I have no more issues to address.",service_completion,1
420,Could you cancel my appointment when you have time?,session_cancelation,4
421,"No, I'm satisfied with that",service_completion,1
422,Can I offer some thoughts?,feedback,6
423,I'd like to confirm an appointment with a doctor,book_session,5
424,I'm looking to cancel my appointment.,session_cancelation,4
425,I have some feedback to share from my recent experience at your hospital.,feedback,6
426,What's the answer?,fallback,0
427,"Hi, virtual assistant!",greeting,2
428,I want to select a time for a doctor's visit,book_session,5
429,I wanted to offer some feedback.,feedback,6
430,Can you recommend a good movie to watch? I'm in the mood for something entertaining.,fallback,0
431,I want to change the time of my last appointment.,session_reschedule,3
432,"That covers everything I needed, thank you.",service_completion,1
433,"Hello, dear bot!",greeting,2
434,Could I share my thoughts?,feedback,6
435,Can I shift the time of my last appointment to another slot?,session_reschedule,3
436,Please cancel the appointment I booked at your hospital. Something came up.,session_cancelation,4
437,I'd appreciate the opportunity to give feedback about my recent hospital experience.,feedback,6
438,I'd like to reschedule my appointment to a different time.,session_reschedule,3
439,Can you elaborate?,fallback,0
440,Can you cancel the appointment I made for [date/time] at your hospital?,session_cancelation,4
441,"No, that's all I'm expecting",service_completion,1
442,Could you furnish me with the details on session I've scheduled for my health assessment?,session_status,7
443,"How's it going, chatbot?",greeting,2
444,I want to cancel my appointment with you.,session_cancelation,4
445,Can I arrange a visit with a doctor,book_session,5
446,I want to know more about my booking.,session_status,7
447,I'm feeling confused.,fallback,0
448,I wanted to give some feedback on this.,feedback,6
449,I'm interested in getting on the doctor's calendar,book_session,5
450,"Hello, AI bot!",greeting,2
451,Could you help me reschedule my appointment?,session_reschedule,3
452,"No, that's all I have",service_completion,1
453,"No, that's all for this task",service_completion,1
454,Provide me with the specifics of my booking.,session_status,7
455,I'd like to cancel the appointment I had previously booked at your hospital.,session_cancelation,4
456,"No, that's the whole deal",service_completion,1
457,I'm hitting a wall.,fallback,0
458,Can you provide a detailed breakdown of the booking I've secured for my upcoming medical check-up?,session_status,7
459,Can you help me with my love life? I doubt AI can solve relationship problems.,fallback,0
460,thank you that's all,service_completion,1
461,I wanted to share my thoughts on this.,feedback,6
462,I want to choose a consultation time with a doctor,book_session,5
463,I want to learn more about my appointment details.,session_status,7
464,"Hi, buddy!",greeting,2
465,I need your assistance in setting up an appointment with one of your doctors.,book_session,5
466,Is there a way for me to submit feedback regarding my recent hospital visit?,feedback,6
467,I wanted to provide thoughts.,feedback,6
468,"No, that's all for now",service_completion,1
469,Could you please assist me in changing the time of my last appointment?,session_reschedule,3
470,Could you please help me reschedule my last appointment?,session_reschedule,3
471,Could you assist me in rescheduling my last appointment?,session_reschedule,3
472,"Well, hello there!",greeting,2
473,What's the cure for a broken heart? A chatbot's response might not be enough.,fallback,0
474,Can you tell me about the meaning of life according to some famous philosopher?,fallback,0
475,Could I offer my feedback?,feedback,6
476,I'm lost.,fallback,0
477,I was looking to share my feedback.,feedback,6
478,"Hi there, helpful bot!",greeting,2
479,Can you clarify?,fallback,0
480,"Hello, clever chatbot!",greeting,2
481,"No, that's all I require",service_completion,1
482,"Share the session details with me, if you could.",session_status,7
483,"Hey, smart bot, how can you assist me?",greeting,2
484,I'd like to know the specifics of my session.,session_status,7
485,"I'm looking to book a session with one of your doctors, can you tell me how to proceed?",book_session,5
486,Can you direct me to the feedback system for my recent hospital visit?,feedback,6
487,Could you please help me cancel my appointment?,session_cancelation,4
488,I'm interested in moving my last appointment to a new time.,session_reschedule,3
489,What's the recipe for a magic potion? Maybe you can create some digital magic.,fallback,0
490,What's there to tell about my appointment?,session_status,7
491,Good afternoon!,greeting,2
492,I'm interested in providing feedback about my recent visit to your hospital.,feedback,6
493,Can you please cancel my appointment?,session_cancelation,4
494,I'm feeling uncertain.,fallback,0
495,Please reschedule the appointment I booked at your hospital. Something came up.,session_reschedule,3
496,How are you doing today?,greeting,2
497,"No, I'm good",service_completion,1
498,Please reschedule my appointment at your hospital. I won't be able to make it.,session_reschedule,3
499,I'm interested in booking a doctor's appointment,book_session,5
500,Could you guide me on how to give feedback about my recent hospital visit?,feedback,6
501,"No, that's final",service_completion,1
502,Could you help me plan a visit to the doctor,book_session,5
503,I'd appreciate it if you give details on the booking I've made for my medical examination.,session_status,7
504,Please reschedule my appointment at your hospital due to unforeseen circumstances.,session_reschedule,3
505,Can you help?,fallback,0
506,"Give me the booking specifics, if you can.",session_status,7
507,I want to cancel my appointment slot.,session_cancelation,4
508,I need to cancel the appointment I scheduled at your hospital.,session_cancelation,4
509,"Hi there, chatbot!",greeting,2
510,"Hi, there, chatbot pal!",greeting,2
511,I wanted to offer feedback on this.,feedback,6
512,Lost in this.,fallback,0
513,I'm interested in moving my appointment to a different time.,session_reschedule,3
514,Can you assist me in changing the time of my last appointment?,session_reschedule,3
515,Is it possible to cancel my appointment?,session_cancelation,4
516,"Hey, chatbot, nice to see you!",greeting,2
517,"What's the meaning of the universe? I know, I know, it's a big question.",fallback,0
518,I want to reserve my consultation with a doctor,book_session,5
519,"Can you tell me a secret? A chatbot with secrets, intriguing.",fallback,0
520,"Could you cancel my appointment, please?",session_cancelation,4
521,"What's up, bot?",greeting,2
522,Can you cancel my appointment for me?,session_cancelation,4
523,"No, that's the limit",service_completion,1
524,"No, that's the whole thing",service_completion,1
525,Is it okay to change the time of my last appointment?,session_reschedule,3
526,I want to provide feedback about the cleanliness and hygiene at your hospital.,feedback,6
527,Could you help me move my last appointment to a different time?,session_reschedule,3
528,"Greetings, helpful bot!",greeting,2
529,"Give me the details of my booking, please.",session_status,7
530,I'm looking to fix an appointment with a doctor,book_session,5
531,"Can you help me by canceling my appointment, if you're comfortable?",session_cancelation,4
532,Can I give my thoughts?,feedback,6
533,"Hello, friendly AI!",greeting,2
534,I wanted to share my feedback with you.,feedback,6
535,This is unclear.,fallback,0
536,I wanted to give my thoughts.,feedback,6
537,Can I give some feedback?,feedback,6
538,"No, that's all for this job",service_completion,1
539,"Hi there, digital companion!",greeting,2
540,"No, I'm good with that",service_completion,1
541,I had feedback to offer.,feedback,6
542,I'd appreciate information on my appointment.,session_status,7
543,I need to move my appointment to another time.,session_reschedule,3
544,Can you assist?,fallback,0
545,I'm unsure.,fallback,0
546,I'd like to reschedule my scheduled appointment.,session_reschedule,3
547,Can I select a meeting time with a doctor,book_session,5
548,"Yo, bot!",greeting,2
549,I need to reschedule my last appointment.,session_reschedule,3
550,"What's the best way to win the lottery? I know it's a long shot, but any tips?",fallback,0
551,"Can you assist me in canceling my appointment, when you're available?",session_cancelation,4
552,Could you assist me in rescheduling my appointment at your hospital?,session_reschedule,3
553,"I need to cancel my appointment, if you can.",session_cancelation,4
554,I've decided to change the date of my appointment at your hospital.,session_reschedule,3
555,Could you assist me with canceling my appointment?,session_cancelation,4
556,Can you help me secure my slot for a doctor's visit,book_session,5
557,I want to reschedule my last appointment that was previously scheduled.,session_reschedule,3
558,"No, that's all I'm looking for",service_completion,1
559,I'm at a loss.,fallback,0
560,Could you help me move my appointment to a different time?,session_reschedule,3
561,Please assist me in reserving a session with one of your doctors.,book_session,5
562,Good morning!,greeting,2
