,text,symp,label
241,I joined a wildlife safari and saw majestic animals in their natural habitat. It was a humbling experience.,None,1
242,"I've been experiencing frequent muscle spasms and cramps, and they're painful.",symptom,0
243,I caught a hilarious comedy last weekend; you'll be laughing from start to finish.,None,1
244,"Wandering through the charming canals of Amsterdam, where bicycles and boats are the preferred modes of transport.",None,1
245,I've been experiencing persistent coughing with a persistent metallic taste.,symptom,0
246,"I helped my friend choose a workout routine, focusing on their fitness goals.",None,1
247,I've noticed that certain foods trigger stomach pain and discomfort.,symptom,0
248,I find joy in exploring farmers' markets and discovering local produce.,None,1
249,"The thrill of watching a Formula 1 race, with cars zooming past at incredible speeds, is an adrenaline-pumping experience.",None,1
250,"I've been experiencing changes in my appetite, with periods of excessive hunger followed by loss of appetite.",symptom,0
251,"I shared my favorite hiking destinations with an adventurous friend, and they embarked on memorable journeys.",None,1
252,"The harmonious melodies of a live jazz band in a dimly lit, smoky club evoke a sense of nostalgia.",None,1
253,I love the feeling of sand between my toes at the beach.,None,1
254,"I've had a foreign object lodged in my eye, and it's affecting my cornea.",symptom,0
255,"I've been experiencing persistent headaches, and they're becoming increasingly severe.",symptom,0
256,"I described the fundamentals of cybersecurity to a friend, emphasizing online safety measures.",None,1
257,I've been eating very little.,symptom,0
258,"I'm experiencing a burning sensation in my stomach, even when I'm not eating.",symptom,0
259,Exploring an underwater cave and discovering hidden wonders is adventurous.,None,1
260,I've had recurring lung infections with a low-grade fever.,symptom,0
261,Participating in a charity auction and contributing to a noble cause is fulfilling.,None,1
262,I've been experiencing chest tightness and shortness of breath due to allergies.,symptom,0
263,I was completely immersed in this gripping courtroom drama with its legal twists and turns.,None,1
264,"I've been feeling itchy all over my body, and there's no apparent rash.",symptom,0
265,"I've been experiencing persistent pain and discomfort in my lower back, and it's becoming increasingly unbearable.",symptom,0
266,I had a wonderful day at the historic site.,None,1
267,I enjoy taking long bike rides.,None,1
268,"I've had episodes of confusion, where I forget where I am or what I'm doing.",symptom,0
269,"I've been experiencing persistent jaw pain and clicking, especially when chewing.",symptom,0
270,I've had a recurring cough with yellow or green mucus.,symptom,0
271,"I ventured into an underground cave, where the echoes of dripping water added to the mystery.",None,1
272,Let me take you on a journey through this epic fantasy series with intricate world-building.,None,1
273,I've noticed a sudden increase in pressure behind my eyes.,symptom,0
274,"I've had a persistent pain in my ears, and they feel blocked.",symptom,0
275,I've always been fascinated by the history of famous car brands.,None,1
276,I'm passionate about photography.,None,1
277,I reminisced about past concerts and music festivals with music lovers.,None,1
278,I've noticed that my skin is more prone to redness and irritation after using certain lotions.,symptom,0
279,I'm planning to attend a charity fundraiser.,None,1
280,"I've had a persistent, gnawing pain in my upper abdomen, and it often occurs after eating.",symptom,0
281,I've been dealing with muscle cramps in my shoulders.,symptom,0
282,Imagine a world where dreams become reality; that's the concept of this fantasy adventure.,None,1
283,Let me share the plot of this intriguing mystery series that's filled with suspense.,None,1
284,What's the current state of international travel and tourism?,None,1
285,"I ventured into a serene bamboo forest, where the rustling leaves created a calming ambiance.",None,1
286,"There's a persistent, dull ache in my chest that's been going on for several days.",symptom,0
287,"My joints are painful and swollen, and I've been feeling stiff in the mornings. The pain tends to move from one joint to another, and it's been ongoing for several weeks.",symptom,0
288,"I've been experiencing pain in my lower back and sides, and it's getting worse.",symptom,0
289,"My child has been experiencing abdominal pain that comes and goes, and I'm worried about it.",symptom,0
290,I discussed my recent camping trips with fellow outdoor enthusiasts.,None,1
291,I've noticed sudden flashes of light and floating spots in my field of vision.,symptom,0
292,"I spent a weekend at a charming seaside cottage, listening to the soothing sound of waves.",None,1
293,I offered advice on planning a DIY home improvement project to a homeowner.,None,1
294,Exploring ancient ruins in foreign lands is a dream of mine.,None,1
295,I'm a perfectionist and it's stressful.,symptom,0
296,"I explained the principles of interior design to a homeowner, focusing on creating a harmonious living space.",None,1
297,"I've noticed that my skin is becoming increasingly sensitive to skincare products, and they cause burning and stinging.",symptom,0
298,"I've had a history of recurrent kidney infections, and I'm worried about their impact on my health.",symptom,0
299,"I've noticed changes in the shape of my teeth, and I'm interested in cosmetic dentistry.",symptom,0
300,Car museums showcase the history and evolution of automobiles.,None,1
301,The view from the mountaintop is absolutely breathtaking.,None,1
302,I find peace in practicing yoga by the tranquil river.,None,1
303,I've been experiencing more mood swings and irritability than usual.,symptom,0
304,Exploring vibrant street markets in foreign cities is an adventure.,None,1
305,Participating in a beach cleanup and protecting the environment is responsible.,None,1
306,Sipping a cup of herbal tea is a soothing way to unwind.,None,1
307,"The taste of freshly picked strawberries, enjoyed in a sun-drenched field, is a sweet and nostalgic reminder of summertime.",None,1
308,"Exploring the ancient ruins of Machu Picchu, where stone terraces cling to the mountainside.",None,1
309,"Pain in my hips, especially when I walk, has been impacting my mobility.",symptom,0
310,"I joined a group for a scenic hike through rolling hills, admiring the wildflowers.",None,1
311,I've noticed that my child's allergies worsen when they visit certain places.,symptom,0
312,I saw a fantastic animated movie that's perfect for kids and adults alike.,None,1
313,"I've been having trouble with irregular menstrual cycles, and it's affecting my fertility.",symptom,0
314,"My son has been experiencing frequent bedwetting, and it's causing him embarrassment.",symptom,0
315,"Sipping a cup of traditional Moroccan mint tea in a riad courtyard, surrounded by lush gardens.",None,1
316,"The pressure in my chest often feels like a heavy weight, and it's been persistent, making me uneasy about my heart health.",symptom,0
317,"I briefed my coworkers on the importance of data privacy, ensuring compliance with regulations.",None,1
318,I've had recurring sinus headaches due to allergies to indoor pollutants.,symptom,0
319,"I've had a fall, and I'm experiencing pain and limited range of motion.",symptom,0
320,"I explained the principles of effective customer retention strategies to an e-commerce entrepreneur, building loyalty.",None,1
321,"My persistent cough is accompanied by wheezing, especially during the nighttime.",symptom,0
322,I shared my experience of hiking in a national park and appreciating the beauty of nature.,None,1
323,"I outlined steps to create a memorable travel journal for a globetrotter, capturing experiences.",None,1
324,I've noticed that my skin is prone to redness and stinging after exercising.,symptom,0
325,"I've been feeling unusually fatigued for the past few weeks, and it's affecting my daily activities.",symptom,0
326,I've been experiencing frequent burping and a sour taste in my mouth.,symptom,0
327,"I recommended a podcast series about science and discovery to my family, and we had enlightening discussions.",None,1
328,I've been experiencing muscle cramps and spasms during physical activity.,symptom,0
329,"I shared my favorite camping recipes with an outdoor enthusiast, and they enjoyed tasty campfire meals.",None,1
330,"I'm experiencing a tight, squeezing feeling in my chest, and it's concerning.",symptom,0
331,I discussed the art of storytelling and its role in conveying messages.,None,1
332,What's the team's winning streak?,None,1
333,"I'm dealing with chronic heartburn, and it's affecting my sleep.",symptom,0
334,"I've had a previous prostate biopsy, and I'm concerned about the results.",symptom,0
335,I saw a feel-good movie that's like a warm embrace on a cold day.,None,1
336,I was moved by this emotionally charged film that explores themes of love and loss.,None,1
337,I'm excited about the upcoming hot air balloon ride over the countryside.,None,1
338,Who's the favorite to win?,None,1
339,"I've had a recent hip injury, and I need rehabilitation.",symptom,0
340,I enjoy the ritual of afternoon tea with scones and clotted cream.,None,1
341,"I embarked on a snorkeling adventure, swimming among colorful coral and tropical fish.",None,1
342,"I've been feeling itchy all over my body, even without a visible rash.",symptom,0
343,I'm planning to take a scenic train journey through the mountains.,None,1
344,Baking homemade cookies fills the house with a delightful aroma.,None,1
345,"I provided tips on effective email management to a professional, reducing inbox clutter.",None,1
346,I discussed my favorite movies and TV shows with fellow cinephiles.,None,1
347,I shared my perspective on the importance of lifelong learning and personal growth.,None,1
348,"I outlined the procedures for conducting a scientific experiment, stressing the need for accuracy.",None,1
349,I cherish the memories we create together.,None,1
350,"My son has been complaining of frequent chest pain, and I'm concerned about his heart health.",symptom,0
351,I've noticed that my coughing gets worse when I'm exposed to cold air.,symptom,0
352,Their laughter is music to my ears.,None,1
353,"I've been having trouble with incontinence, especially when I cough or sneeze.",symptom,0
354,"I've been pregnant before, and I'm concerned about a history of preterm labor.",symptom,0
355,"I recommended a humor-filled escape room experience to my family, and we had a blast cracking jokes.",None,1
356,I joined a group for a thrilling zip-lining excursion through a lush rainforest canopy.,None,1
357,I shared my perspective on the future of technology and its implications.,None,1
358,"I've been feeling a tight, constricting sensation in my chest, especially during stressful situations.",symptom,0
359,I feel lucky to have found them.,None,1
360,"My sleep is frequently disrupted by recurring nightmares, many of which revolve around heart-related scenarios, adding to my anxiety.",symptom,0
361,I savor the moment when I take the first bite of a perfectly grilled steak.,None,1
362,Luxury SUVs offer a combination of comfort and style for family outings.,None,1
363,I feel butterflies in my stomach when I see them.,None,1
364,"I've noticed changes in my urine clarity, and it's becoming cloudy and unusual.",symptom,0
365,My chest pain feels like a weight.,symptom,0
366,"I joined a group for a hot air balloon ride at sunset, with breathtaking views of the landscape.",None,1
367,"I've had this clicking sound in my wrist, and it's painful when I try to grip objects.",symptom,0
368,"I discussed the principles of effective parenting techniques with a group of new parents, addressing common challenges.",None,1
369,What's the current state of international efforts to promote global health?,None,1
370,"I've been experiencing persistent muscle weakness in my face, and it's affecting my speech.",symptom,0
371,"I attended a vibrant Indian festival of colors, with people throwing colored powders in celebration.",None,1
372,"I've been having difficulty sleeping, and it's impacting my overall well-being.",symptom,0
373,I can't wait to see what the future holds for us.,None,1
374,"I clarified the procedures for conducting a thorough market research to a business owner, aiding in strategic decision-making.",None,1
375,"I've been experiencing persistent joint pain and stiffness, particularly in my knees and hips.",symptom,0
376,I love exploring historic cathedrals and their stunning architecture.,None,1
377,"I explored a bustling night market, indulging in street food and shopping for souvenirs.",None,1
378,I've noticed that my child's allergies lead to frequent doctor visits.,symptom,0
379,The taste of homemade apple pie is a nostalgic delight.,None,1
380,"I elucidated the concept of cultural diversity to a group of students, fostering inclusivity.",None,1
381,"There's this classic romance film that never gets old, and I have to recommend it.",None,1
382,"I've been experiencing severe anxiety and panic attacks, even in normal situations.",symptom,0
383,"I guided my coworker through the process of setting up a personal budget, managing finances effectively.",None,1
384,"I've noticed that my fingers are becoming stiff, and it's difficult to bend them.",symptom,0
385,"I spent a day at a traditional Moroccan market, haggling for exotic spices and textiles.",None,1
386,"I've been experiencing pain and discomfort in my chest, and I'm worried about heart-kidney interactions.",symptom,0
387,"My mood has become increasingly agitated, and I've been easily angered.",symptom,0
388,"I ventured into a lush rainforest, where the canopy formed a natural green cathedral.",None,1
389,"I asked a professional chef for cooking advice, and they shared a secret recipe.",None,1
390,"I've been getting hiccups more frequently, and they can last for extended periods.",symptom,0
391,I narrated my experience of learning a new language and the challenges I faced.,None,1
392,"I've had a previous prostate surgery, and I'm worried about potential complications.",symptom,0
393,Exploring hidden waterfalls in the forest is a magical experience.,None,1
394,"I've had a history of tonsil issues, and I'm concerned about recurrent tonsillitis.",symptom,0
395,"My child has been complaining of persistent abdominal discomfort, and I'm not sure what's causing it.",symptom,0
396,"I've been experiencing changes in my urine volume, and it's becoming too frequent.",symptom,0
397,I've had a sudden decrease in my ability to hear conversations in noisy environments.,symptom,0
398,I joined a group for an exciting dog sledding expedition through snowy wilderness.,None,1
399,"I introduced my family to the world of sustainable home improvements, explaining energy-efficient upgrades.",None,1
400,"My chest pain often worsens with deep breaths, and it feels like a heavy pressure.",symptom,0
401,"My fingers have been aching, and I'm concerned about joint inflammation.",symptom,0
402,I've had a sudden swelling of my lips and tongue after eating out.,symptom,0
403,There's a thought-provoking drama that delves into the complexities of human relationships.,None,1
404,Attending a music festival and dancing to the rhythm of live bands is electrifying.,None,1
405,I've had a sudden decrease in my ability to hear background noises.,symptom,0
406,I chatted about my favorite cuisines with foodies at a restaurant.,None,1
407,I've had some nausea and vomiting.,symptom,0
